what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494876258192
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494876258658
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494876259690
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494876261612
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494876510781
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494876539493
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494877603555
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494877638069
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494877650751
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494877735499
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494877747718
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494877798003
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1494877840174
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.redo",1494877842020
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1494877848412
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494877886049
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494877887994
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1494877888139
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494878039538
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494878567190
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1494878574242
